instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32
452,cak_160,1.2458746004482375,,3,0.05,-8.503913817275507,0.1512631922960281,2.692639112472534,3.5352771282196045,4.360217571258545,5.158193588256836,5.992044448852539,6.793312072753906
576,adaptive_k10,,,4,0.05,1.5495180423592505,0.8718777894973755,6.595864772796631,7.312969207763672,7.612370491027832,7.790692329406738,7.920462131500244,7.984327793121338
576,adaptive_k25,,,4,0.05,1.5495180423592505,1.0368199348449707,7.127601623535156,7.546029090881348,7.751295566558838,7.897125244140625,7.981060028076172,7.990823268890381
576,adaptive_k50,,,4,0.05,1.5495180423592505,1.1507718563079834,7.370385646820068,7.669402599334717,7.843100070953369,7.958613872528076,7.996486186981201,7.984832286834717
576,cak_40,0.5835873371735706,,4,0.05,1.5495180423592505,0.0522341169416904,0.7259718775749207,1.029995083808899,1.378989577293396,1.7893762588500977,2.3089120388031006,2.964797258377075
576,cak_80,0.7150769377578043,,4,0.05,1.5495180423592505,0.0942477211356163,1.18726909160614,1.666202425956726,2.258309125900269,3.0050740242004395,3.9062793254852295,4.917656421661377
576,cak_160,0.8863461127169745,,4,0.05,1.5495180423592505,0.1624706983566284,1.9339745044708248,2.706948757171631,3.64767074584961,4.72097110748291,5.826699733734131,6.771578311920166
700,adaptive_k10,,,5,0.05,-62.894655678803616,1.2700247764587402,6.7148919105529785,7.223612308502197,7.574435710906982,7.82879638671875,7.967456340789795,7.992503643035889
700,adaptive_k25,,,5,0.05,-62.894655678803616,1.4078161716461182,7.006874084472656,7.438618659973144,7.74392557144165,7.935693264007568,7.996277809143066,7.97915506362915
700,adaptive_k50,,,5,0.05,-62.894655678803616,1.5056614875793457,7.19595193862915,7.587557315826416,7.853274822235107,7.982661724090576,7.992562770843506,7.968551158905029
700,cak_40,0.5121609527647317,,5,0.05,-62.894655678803616,0.0196914467960596,0.3769185543060303,0.5946875810623169,0.8951339721679688,1.3014805316925049,1.841761589050293,2.516464948654175
700,cak_80,0.608182505985951,,5,0.05,-62.894655678803616,0.081664815545082,0.8650989532470703,1.3365862369537354,1.96410071849823,2.7508134841918945,3.681068420410156,4.710348606109619
700,cak_160,0.7303877217369796,,5,0.05,-62.894655678803616,0.2150098830461502,1.7494491338729858,2.588034152984619,3.590235948562622,4.685239315032959,5.709050178527832,6.472355842590332
824,adaptive_k10,,,6,0.05,-23.73030057471971,1.4603852033615112,7.412158966064453,7.754794597625732,7.919274806976318,7.975966930389404,7.960216045379639,7.9439697265625
