anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
947,0.8440019,1.6605220130146436,1.0000001,3,saddle,3,-8.0
466,1.3674845,1.7995207854597197,1.0,3,saddle,3,-8.0
898,0.6482197,1.0511296349507382,1.0,3,saddle,3,-8.0
836,0.16489683,1.257048828095489,1.0,3,saddle,3,-8.0
344,0.27029687,1.1058210144338814,0.99999994,3,saddle,3,-8.0
778,1.2929196,1.5480989155504055,1.0000001,3,saddle,3,-8.0
1507,0.4385602,1.1703469933608568,1.0,3,saddle,3,-8.0
588,0.6665115,1.519155301870936,1.0,3,saddle,3,-8.0
1027,0.34788612,1.4288556440500675,1.0,3,saddle,3,-8.0
1324,0.44962764,1.472636765616433,1.0,3,saddle,3,-8.0
64,1.0817438,1.5869017977888302,1.0,3,saddle,3,-8.0
316,0.29006392,1.146007293760763,1.0,3,saddle,3,-8.0
185,0.5489712,1.6215609851951058,1.0,3,saddle,3,-8.0
1905,0.26073813,1.0175402038459218,1.0,3,saddle,3,-8.0
857,1.6000681,1.8583981523752788,1.0,3,saddle,3,-8.0
1146,1.1501995,1.6256544424079897,1.0,3,saddle,3,-8.0
1567,0.9689777,1.5950880342160407,1.0,3,saddle,3,-8.0
525,0.28992778,1.20347734658135,1.0,3,saddle,3,-8.0
1575,0.39691085,1.0315960016309673,1.0,3,saddle,3,-8.0
1737,1.2367029,1.813305260339634,1.0,3,saddle,3,-8.0
856,0.6635295,1.2723538286468612,0.99999994,3,saddle,3,-8.0
1468,0.4478106,1.5605640838195056,1.0,3,saddle,3,-8.0
1295,0.00068653753,0.36024434123601157,1.0,3,saddle,3,-8.0
1226,0.013041579,1.0538052701011806,1.0,3,saddle,3,-8.0
1709,0.28896043,1.134727242949024,0.99999994,3,saddle,3,-8.0
1367,0.9829786,1.2761505469786476,0.99999994,3,saddle,3,-8.0
224,0.055330534,1.035928217365955,1.0,3,saddle,3,-8.0
1167,1.1175448,1.1108842366458094,0.99999994,3,saddle,3,-8.0
168,0.100894384,0.9558213958872928,1.0,3,saddle,3,-8.0
641,0.48864043,1.3358033640507871,1.0,3,saddle,3,-8.0
356,0.5243074,1.3391213962168493,1.0,3,saddle,3,-8.0
657,0.010194605,1.1777254005962572,1.0,3,saddle,3,-8.0
569,0.6982177,0.841162605208523,1.0,3,saddle,3,-8.0
1299,0.8680822,1.2972555371752796,0.99999994,3,saddle,3,-8.0
352,0.06401883,0.6498561819878059,1.0,3,saddle,3,-8.0
1591,1.2031214,1.5162733115533709,1.0,3,saddle,3,-8.0
1391,0.15065862,0.8252311194378347,1.0,3,saddle,3,-8.0
908,0.30324304,0.7598243600937937,1.0,4,plane,1,0.0
546,0.7755015,1.1133502913723285,1.0,4,plane,1,0.0
770,1.3692495,1.6410003630440473,1.0,4,plane,1,0.0
904,1.7336888,1.601851628667434,1.0,4,plane,1,0.0
248,0.05577324,0.47466676858468143,1.0,4,plane,1,0.0
840,0.7012769,1.3404122205661446,0.99999994,4,plane,1,0.0
532,0.6622238,0.9313881025969294,1.0,4,plane,1,0.0
