instance,point,kind,dataset,dim,noise,seed,name,ks_true,kappa,frac,ent2,ent4
41,706,hyperbolic,tier1,2,0.15,1,H2(k=1),-8.48976523081452,-0.1320788674134632,0.0,4.995976448059082,5.7328057289123535
41,52,hyperbolic,tier1,2,0.15,1,H2(k=1),-8.48976523081452,-0.1441516142661819,0.0,5.099417209625244,5.814785957336426
41,1422,hyperbolic,tier1,2,0.15,1,H2(k=1),-8.48976523081452,0.3963654932286145,0.0,4.434599876403809,5.007918834686279
41,1233,hyperbolic,tier1,2,0.15,1,H2(k=1),-8.48976523081452,0.1269808304791627,0.125,5.009030342102051,5.484866142272949
41,215,hyperbolic,tier1,2,0.15,1,H2(k=1),-8.48976523081452,0.2414333135642653,0.0,4.527158260345459,5.02744197845459
41,1128,hyperbolic,tier1,2,0.15,1,H2(k=1),-8.48976523081452,0.0081393075086459,0.0625,5.086338996887207,5.671392440795898
41,764,hyperbolic,tier1,2,0.15,1,H2(k=1),-8.48976523081452,0.2420523648400845,0.0,4.799901962280273,5.339779853820801
42,137,hyperbolic,tier1,2,0.0,2,H2(k=1),-8.821890654476741,0.3528034726994885,0.0,4.33248233795166,4.959268093109131
42,390,hyperbolic,tier1,2,0.0,2,H2(k=1),-8.821890654476741,0.2507603216709475,0.0,4.584660530090332,5.047596454620361
42,1250,hyperbolic,tier1,2,0.0,2,H2(k=1),-8.821890654476741,0.0525645467702181,0.1875,5.042019367218018,5.606229782104492
42,1219,hyperbolic,tier1,2,0.0,2,H2(k=1),-8.821890654476741,0.2338494509770189,0.0,4.325261116027832,4.835009574890137
42,446,hyperbolic,tier1,2,0.0,2,H2(k=1),-8.821890654476741,0.1393280826791424,0.0,4.917795181274414,5.468626976013184
42,676,hyperbolic,tier1,2,0.0,2,H2(k=1),-8.821890654476741,0.2038330346215882,0.0,4.790782451629639,5.221980571746826
42,619,hyperbolic,tier1,2,0.0,2,H2(k=1),-8.821890654476741,-0.1205547089822599,0.0625,5.266292095184326,5.878864288330078
42,163,hyperbolic,tier1,2,0.0,2,H2(k=1),-8.821890654476741,0.4526449440796758,0.0,4.12733793258667,4.796031951904297
